0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:47:49 +0530] "GET /hotel/roomtypes.jsp HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:49:00 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 4213
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:49:00 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:49:41 +0530] "GET /hotel/contact.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:49:44 +0530] "GET /hotel/roomtypes.jsp HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:49:56 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:50:30 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 4213
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:50:30 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:51:40 +0530] "GET /hotel/contact.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:51:42 +0530] "GET /hotel/roomtypes.jsp HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:51:46 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:57:06 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 4215
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:57:06 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:57:08 +0530] "GET /hotel/booknow.jsp HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:58:40 +0530] "GET /hotel/booknow.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:58:42 +0530] "GET /hotel/booknow.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [31/Dec/2016:17:00:03 +0530] "GET /hotel/booknow.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [31/Dec/2016:17:00:40 +0530] "GET /hotel/booknow.jsp HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [31/Dec/2016:17:01:14 +0530] "GET /hotel/contact.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [31/Dec/2016:17:01:16 +0530] "GET /hotel/roomtypes.jsp HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [31/Dec/2016:17:01:19 +0530] "GET /hotel/signin.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [31/Dec/2016:17:01:28 +0530] "GET /hotel/booknow.jsp HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [31/Dec/2016:17:01:41 +0530] "GET /hotel/booknow.jsp HTTP/1.1" 200 884
